time,member,sales,delta
2026-06-29T20:01:02+08:00,OffLine,0,
2026-06-29T20:01:02+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,
2026-06-29T20:01:02+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,
2026-06-29T20:01:02+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,
2026-06-29T20:01:12+08:00,OffLine,0,0
2026-06-29T20:01:12+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:01:12+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:01:12+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:01:23+08:00,OffLine,0,0
2026-06-29T20:01:23+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:01:23+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:01:23+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:01:33+08:00,OffLine,0,0
2026-06-29T20:01:33+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:01:33+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:01:33+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:01:44+08:00,OffLine,0,0
2026-06-29T20:01:44+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:01:44+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:01:44+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:01:54+08:00,OffLine,0,0
2026-06-29T20:01:54+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:01:54+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:01:54+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:02:13+08:00,OffLine,0,0
2026-06-29T20:02:13+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:02:13+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:02:13+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:02:24+08:00,OffLine,0,0
2026-06-29T20:02:24+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:02:24+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:02:24+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:02:34+08:00,OffLine,0,0
2026-06-29T20:02:34+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:02:34+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:02:34+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:02:45+08:00,OffLine,0,0
2026-06-29T20:02:45+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:02:45+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:02:45+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:02:55+08:00,OffLine,0,0
2026-06-29T20:02:55+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:02:55+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:02:55+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:03:06+08:00,OffLine,0,0
2026-06-29T20:03:06+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:03:06+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:03:06+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:03:25+08:00,OffLine,0,0
2026-06-29T20:03:25+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:03:25+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:03:25+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:03:36+08:00,OffLine,0,0
2026-06-29T20:03:36+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:03:36+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:03:36+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:03:46+08:00,OffLine,0,0
2026-06-29T20:03:46+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:03:46+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:03:46+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:03:57+08:00,OffLine,0,0
2026-06-29T20:03:57+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:03:57+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:03:57+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:04:07+08:00,OffLine,0,0
2026-06-29T20:04:07+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:04:07+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:04:07+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:04:18+08:00,OffLine,0,0
2026-06-29T20:04:18+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:04:18+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:04:18+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:04:38+08:00,OffLine,0,0
2026-06-29T20:04:38+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:04:38+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:04:38+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:04:48+08:00,OffLine,0,0
2026-06-29T20:04:48+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:04:48+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:04:48+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:04:59+08:00,OffLine,0,0
2026-06-29T20:04:59+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:04:59+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:04:59+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:05:09+08:00,OffLine,0,0
2026-06-29T20:05:09+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:05:09+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:05:09+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:05:19+08:00,OffLine,0,0
2026-06-29T20:05:19+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:05:19+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:05:19+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:05:30+08:00,OffLine,0,0
2026-06-29T20:05:30+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:05:30+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:05:30+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:05:49+08:00,OffLine,0,0
2026-06-29T20:05:49+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:05:49+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:05:49+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:06:00+08:00,OffLine,0,0
2026-06-29T20:06:00+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:06:00+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:06:00+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:06:10+08:00,OffLine,0,0
2026-06-29T20:06:10+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:06:10+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:06:10+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:06:21+08:00,OffLine,0,0
2026-06-29T20:06:21+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:06:21+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:06:21+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:06:31+08:00,OffLine,0,0
2026-06-29T20:06:31+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:06:31+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:06:31+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:06:42+08:00,OffLine,0,0
2026-06-29T20:06:42+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:06:42+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",61,0
2026-06-29T20:06:42+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:07:02+08:00,OffLine,0,0
2026-06-29T20:07:02+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:07:02+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,3
2026-06-29T20:07:02+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:07:13+08:00,OffLine,0,0
2026-06-29T20:07:13+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:07:13+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:07:13+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:07:23+08:00,OffLine,0,0
2026-06-29T20:07:23+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:07:23+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:07:23+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:07:34+08:00,OffLine,0,0
2026-06-29T20:07:34+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:07:34+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:07:34+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:07:44+08:00,OffLine,0,0
2026-06-29T20:07:44+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:07:44+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:07:44+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:07:55+08:00,OffLine,0,0
2026-06-29T20:07:55+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:07:55+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:07:55+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:08:15+08:00,OffLine,0,0
2026-06-29T20:08:15+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:08:15+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:08:15+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:08:25+08:00,OffLine,0,0
2026-06-29T20:08:25+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:08:25+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:08:25+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:08:36+08:00,OffLine,0,0
2026-06-29T20:08:36+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:08:36+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:08:36+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:08:46+08:00,OffLine,0,0
2026-06-29T20:08:46+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:08:46+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:08:46+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:08:57+08:00,OffLine,0,0
2026-06-29T20:08:57+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
2026-06-29T20:08:57+08:00,"VideoCall·Unit B : BANG JEE MIN, RYU SA RANG",64,0
2026-06-29T20:08:57+08:00,"VideoCall·Unit A : MAI, CHOI JUNG EUN",20,0
2026-06-29T20:09:07+08:00,OffLine,0,0
2026-06-29T20:09:07+08:00,"VideoCall·Unit C : KOKO, JEONG SAE BI",22,0
