time,member,sales,delta
2026-08-26T23:46:53+08:00,OffLine,36,
2026-08-26T23:46:53+08:00,ROCKY - 2nd Mini Album [,646,
2026-08-26T23:47:04+08:00,OffLine,36,0
2026-08-26T23:47:04+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:47:15+08:00,OffLine,36,0
2026-08-26T23:47:15+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:47:25+08:00,OffLine,36,0
2026-08-26T23:47:25+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:47:36+08:00,OffLine,36,0
2026-08-26T23:47:36+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:47:46+08:00,OffLine,36,0
2026-08-26T23:47:46+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:47:57+08:00,OffLine,36,0
2026-08-26T23:47:57+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:48:21+08:00,OffLine,36,0
2026-08-26T23:48:21+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:48:32+08:00,OffLine,36,0
2026-08-26T23:48:32+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:48:42+08:00,OffLine,36,0
2026-08-26T23:48:42+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:48:53+08:00,OffLine,36,0
2026-08-26T23:48:53+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:49:03+08:00,OffLine,36,0
2026-08-26T23:49:03+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:49:14+08:00,OffLine,36,0
2026-08-26T23:49:14+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:49:39+08:00,OffLine,36,0
2026-08-26T23:49:39+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:49:49+08:00,OffLine,36,0
2026-08-26T23:49:49+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:50:00+08:00,OffLine,36,0
2026-08-26T23:50:00+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:50:11+08:00,OffLine,36,0
2026-08-26T23:50:11+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:50:22+08:00,OffLine,36,0
2026-08-26T23:50:22+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:50:46+08:00,OffLine,36,0
2026-08-26T23:50:46+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:50:56+08:00,OffLine,36,0
2026-08-26T23:50:56+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:51:07+08:00,OffLine,36,0
2026-08-26T23:51:07+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:51:18+08:00,OffLine,36,0
2026-08-26T23:51:18+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:51:29+08:00,OffLine,36,0
2026-08-26T23:51:29+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:51:39+08:00,OffLine,36,0
2026-08-26T23:51:39+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:52:03+08:00,OffLine,36,0
2026-08-26T23:52:03+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:52:16+08:00,OffLine,36,0
2026-08-26T23:52:16+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:52:26+08:00,OffLine,36,0
2026-08-26T23:52:26+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:52:37+08:00,OffLine,36,0
2026-08-26T23:52:37+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:52:48+08:00,OffLine,36,0
2026-08-26T23:52:48+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:53:12+08:00,OffLine,36,0
2026-08-26T23:53:12+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:53:23+08:00,OffLine,36,0
2026-08-26T23:53:23+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:53:33+08:00,OffLine,36,0
2026-08-26T23:53:33+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:53:44+08:00,OffLine,36,0
2026-08-26T23:53:44+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:53:54+08:00,OffLine,36,0
2026-08-26T23:53:54+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:54:05+08:00,OffLine,36,0
2026-08-26T23:54:05+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:54:29+08:00,OffLine,36,0
2026-08-26T23:54:29+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:54:40+08:00,OffLine,36,0
2026-08-26T23:54:40+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:54:50+08:00,OffLine,36,0
2026-08-26T23:54:50+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:55:01+08:00,OffLine,36,0
2026-08-26T23:55:01+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:55:11+08:00,OffLine,36,0
2026-08-26T23:55:11+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:55:22+08:00,OffLine,36,0
2026-08-26T23:55:22+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:55:46+08:00,OffLine,36,0
2026-08-26T23:55:46+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:55:56+08:00,OffLine,36,0
2026-08-26T23:55:56+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:56:07+08:00,OffLine,36,0
2026-08-26T23:56:07+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:56:18+08:00,OffLine,36,0
2026-08-26T23:56:18+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:56:28+08:00,OffLine,36,0
2026-08-26T23:56:28+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:56:39+08:00,OffLine,36,0
2026-08-26T23:56:39+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:57:04+08:00,OffLine,36,0
2026-08-26T23:57:04+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:57:15+08:00,OffLine,36,0
2026-08-26T23:57:15+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:57:26+08:00,OffLine,36,0
2026-08-26T23:57:26+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:57:37+08:00,OffLine,36,0
2026-08-26T23:57:37+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:57:47+08:00,OffLine,36,0
2026-08-26T23:57:47+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:58:11+08:00,OffLine,36,0
2026-08-26T23:58:11+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:58:22+08:00,OffLine,36,0
2026-08-26T23:58:22+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:58:33+08:00,OffLine,36,0
2026-08-26T23:58:33+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:58:43+08:00,OffLine,36,0
2026-08-26T23:58:43+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:58:54+08:00,OffLine,36,0
2026-08-26T23:58:54+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:59:05+08:00,OffLine,36,0
2026-08-26T23:59:05+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:59:29+08:00,OffLine,36,0
2026-08-26T23:59:29+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:59:39+08:00,OffLine,36,0
2026-08-26T23:59:39+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-26T23:59:50+08:00,OffLine,36,0
2026-08-26T23:59:50+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:00:01+08:00,OffLine,36,0
2026-08-27T00:00:01+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:00:11+08:00,OffLine,36,0
2026-08-27T00:00:11+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:00:21+08:00,OffLine,36,0
2026-08-27T00:00:21+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:00:45+08:00,OffLine,36,0
2026-08-27T00:00:45+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:00:55+08:00,OffLine,36,0
2026-08-27T00:00:55+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:01:06+08:00,OffLine,36,0
2026-08-27T00:01:06+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:01:17+08:00,OffLine,36,0
2026-08-27T00:01:17+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:01:27+08:00,OffLine,36,0
2026-08-27T00:01:27+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:01:38+08:00,OffLine,36,0
2026-08-27T00:01:38+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:02:03+08:00,OffLine,36,0
2026-08-27T00:02:03+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:02:13+08:00,OffLine,36,0
2026-08-27T00:02:13+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:02:23+08:00,OffLine,36,0
2026-08-27T00:02:23+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:02:34+08:00,OffLine,36,0
2026-08-27T00:02:34+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:02:45+08:00,OffLine,36,0
2026-08-27T00:02:45+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:02:56+08:00,OffLine,36,0
2026-08-27T00:02:56+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:03:19+08:00,OffLine,36,0
2026-08-27T00:03:19+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:03:30+08:00,OffLine,36,0
2026-08-27T00:03:30+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:03:41+08:00,OffLine,36,0
2026-08-27T00:03:41+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:03:51+08:00,OffLine,36,0
2026-08-27T00:03:51+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:04:01+08:00,OffLine,36,0
2026-08-27T00:04:01+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:04:12+08:00,OffLine,36,0
2026-08-27T00:04:12+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:04:36+08:00,OffLine,36,0
2026-08-27T00:04:36+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:04:46+08:00,OffLine,36,0
2026-08-27T00:04:46+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:04:57+08:00,OffLine,36,0
2026-08-27T00:04:57+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:05:07+08:00,OffLine,36,0
2026-08-27T00:05:07+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:05:18+08:00,OffLine,36,0
2026-08-27T00:05:18+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:05:29+08:00,OffLine,36,0
2026-08-27T00:05:29+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:05:53+08:00,OffLine,36,0
2026-08-27T00:05:53+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:06:04+08:00,OffLine,36,0
2026-08-27T00:06:04+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:06:14+08:00,OffLine,36,0
2026-08-27T00:06:14+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:06:25+08:00,OffLine,36,0
2026-08-27T00:06:25+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:06:35+08:00,OffLine,36,0
2026-08-27T00:06:35+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:06:46+08:00,OffLine,36,0
2026-08-27T00:06:46+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:07:09+08:00,OffLine,36,0
2026-08-27T00:07:09+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:07:20+08:00,OffLine,36,0
2026-08-27T00:07:20+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:07:30+08:00,OffLine,36,0
2026-08-27T00:07:30+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:07:40+08:00,OffLine,36,0
2026-08-27T00:07:40+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:07:51+08:00,OffLine,36,0
2026-08-27T00:07:51+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:08:02+08:00,OffLine,36,0
2026-08-27T00:08:02+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:08:26+08:00,OffLine,36,0
2026-08-27T00:08:26+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:08:37+08:00,OffLine,36,0
2026-08-27T00:08:37+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:08:48+08:00,OffLine,36,0
2026-08-27T00:08:48+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:08:59+08:00,OffLine,36,0
2026-08-27T00:08:59+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:09:10+08:00,OffLine,36,0
2026-08-27T00:09:10+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:09:33+08:00,OffLine,36,0
2026-08-27T00:09:33+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:09:44+08:00,OffLine,36,0
2026-08-27T00:09:44+08:00,ROCKY - 2nd Mini Album [,646,0
2026-08-27T00:09:54+08:00,OffLine,36,0
2026-08-27T00:09:54+08:00,ROCKY - 2nd Mini Album [,646,0
